OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FALCON 9 DEB,2022-097BF,2022-08-29T14:30:46.926720,16.29049941,.0021189,53.2091,147.9306,127.9084,232.3880,0,U,53441,999,317,.62517E-3,.2868098E-1,.12019E-4
FALCON 9 DEB,2022-097BG,2022-08-29T14:05:21.485472,16.32378042,.0016749,53.2162,147.8098,129.0052,231.2488,0,U,53442,999,317,.55791E-3,.3459683E-1,.12103E-4
FALCON 9 DEB,2022-097BH,2022-08-29T13:52:04.636416,16.36705632,.0012462,53.2165,147.7380,128.4741,231.7426,0,U,53443,999,317,.53966E-3,.5201279E-1,.12188E-4
2022-098A,2022-098A,2022-08-29T13:38:21.865632,15.08813587,.0011367,97.5311,337.5525,182.7699,301.9928,0,U,53444,999,292,.10818E-3,.1641E-4,0
2022-098B,2022-098B,2022-08-29T13:26:47.561280,15.09455034,.0009408,97.5338,337.5712,193.6965,291.7664,0,U,53445,999,290,.13029E-3,.2024E-4,0
2022-098C,2022-098C,2022-08-29T13:36:19.988064,15.08926618,.0011617,97.5356,337.5666,186.6297,298.2981,0,U,53446,999,290,.11297E-3,.1721E-4,0
2022-098D,2022-098D,2022-08-29T13:33:51.636672,15.09072158,.0010906,97.5267,337.5453,188.0215,297.6332,0,U,53447,999,290,.11776E-3,.1804E-4,0
2022-098E,2022-098E,2022-08-29T13:30:41.827104,15.09255765,.0011444,97.5340,337.5681,194.2110,292.2584,0,U,53448,999,290,.1223E-3,.1886E-4,0
2022-098F,2022-098F,2022-08-29T13:28:56.210016,15.09345156,.0011055,97.5293,337.5549,195.3281,290.6492,0,U,53449,999,290,.12628E-3,.1954E-4,0
2022-098G,2022-098G,2022-08-29T13:25:08.036256,15.09547187,.0008423,97.5340,337.5726,193.6287,291.9921,0,U,53450,999,290,.13058E-3,.2033E-4,0
2022-098H,2022-098H,2022-08-29T13:23:42.745632,15.09625389,.000907,97.5385,337.5862,197.7955,287.9060,0,U,53451,999,290,.1303E-3,.2033E-4,0
2022-098J,2022-098J,2022-08-29T13:22:00.347808,15.09719797,.0009122,97.5289,337.5613,199.6368,286.0857,0,U,53452,999,290,.13529E-3,.2119E-4,0
2022-098K,2022-098K,2022-08-29T13:20:31.937280,15.09801783,.0009723,97.5338,337.5762,203.0896,282.7771,0,U,53453,999,290,.13643E-3,.2143E-4,0
2022-098L,2022-098L,2022-08-29T13:17:07.141632,15.10017019,.0011556,97.5288,337.5646,210.2202,275.8739,0,U,53454,999,290,.20414E-3,.3259E-4,0
2022-098M,2022-098M,2022-08-29T13:16:47.841600,15.10034897,.0011442,97.5306,337.5706,211.5475,274.5734,0,U,53455,999,290,.20287E-3,.324E-4,0
2022-098N,2022-098N,2022-08-29T13:16:03.940896,15.10074692,.0011144,97.5275,337.5613,211.6333,274.4754,0,U,53456,999,290,.20283E-3,.3243E-4,0
2022-098P,2022-098P,2022-08-29T13:13:05.453184,15.10240497,.0010495,97.5285,337.5658,213.7397,272.6437,0,U,53457,999,290,.20148E-3,.3235E-4,0
2022-098Q,2022-098Q,2022-08-29T13:13:51.893184,15.10165068,.0010833,97.5322,337.5772,214.4490,271.7471,0,U,53458,999,290,.95698E-5,.93E-6,0
2022-098R,2022-098R,2022-08-29T13:12:07.997184,15.10291153,.0010274,97.5301,337.5741,215.0521,271.2450,0,U,53459,999,290,.20338E-3,.327E-4,0
HSU-SAT1,1998-067UB,2022-08-29T12:57:22.416192,15.51737912,.0006154,51.6419,333.0369,198.7386,161.3378,0,U,53462,999,267,.4256E-3,.25471E-3,0
FUTABA,1998-067UC,2022-08-29T12:55:33.849408,15.51919682,.0006054,51.6419,333.0287,200.1819,159.8933,0,U,53463,999,267,.49422E-3,.29866E-3,0
TUMNANOSAT,1998-067UD,2022-08-29T11:20:58.677504,15.52096494,.000605,51.6417,333.3398,201.2395,158.8344,0,U,53464,999,266,.54588E-3,.33264E-3,0
STARLINK-4415,2022-099A,2022-08-29T16:00:00.999936,15.69304727,.0001855,97.6557,0.4658,61.4190,16.9882,0,U,53465,999,288,-.11601E-1,-.1216969E-1,0
STARLINK-4398,2022-099B,2022-08-29T16:00:00.999936,15.65560462,.0001818,97.6560,0.4681,64.8936,359.1110,0,U,53466,999,288,-.14112E-1,-.1265357E-1,0
STARLINK-4394,2022-099C,2022-08-29T16:00:00.999936,15.65532130,.0001731,97.6561,0.4681,68.8375,355.8277,0,U,53467,999,288,-.13551E-1,-.1218748E-1,0
STARLINK-4400,2022-099D,2022-08-29T14:00:01.000224,15.65748735,.0001575,97.6556,0.3763,86.8850,229.0478,0,U,53468,999,130,-.13302E-1,-.12079E-1,0
STARLINK-4399,2022-099E,2022-08-29T16:00:00.999936,15.65556380,.0001742,97.6559,0.4683,58.4510,8.1412,0,U,53469,999,288,-.13582E-1,-.1222336E-1,0
STARLINK-4393,2022-099F,2022-08-29T16:00:00.999936,15.65599848,.0001975,97.6561,0.4680,55.3394,10.5844,0,U,53470,999,288,-.14372E-1,-.1288128E-1,0
STARLINK-4316,2022-099G,2022-08-29T16:00:00.999936,15.65574052,.0001853,97.6560,0.4682,56.0371,11.8384,0,U,53471,999,288,-.13623E-1,-.122649E-1,0
STARLINK-4447,2022-099H,2022-08-29T16:00:00.999936,15.65546014,.0001784,97.6560,0.4681,58.1010,9.1426,0,U,53472,999,288,-.13304E-1,-.1199315E-1,0
STARLINK-4383,2022-099J,2022-08-29T16:00:00.999936,15.65594805,.0001794,97.6560,0.4684,56.2621,13.5404,0,U,53473,999,288,-.1359E-1,-.1224706E-1,0
